drug_name,num_prescriber,total_cost
ENBREL,1,511098.0
LATUDA,3,175204.0
CRESTOR,6,167440.0
RESTASIS,3,154569.0
LANTUS SOLOSTAR,5,119576.0
JAKAFI,1,105771.0
LANTUS,6,91440.0
LYRICA,6,89355.0
XARELTO,4,78065.0
HUMIRA PEN,1,76459.0
RYTARY,1,71052.0
PRADAXA,6,69856.0
LEVEMIR FLEXTOUCH,4,66400.0
NAMENDA,3,66187.0
ONFI,2,61375.0
ARIPIPRAZOLE,4,60185.0
ABILIFY,1,51341.0
LUPRON DEPOT,1,50609.0
OXYCONTIN,2,50521.0
JANUVIA,5,49968.0
ATORVASTATIN CALCIUM,15,46402.0
METOPROLOL SUCCINATE,13,41334.0
SYMBICORT,5,40977.0
ANORO ELLIPTA,1,37954.0
ZETIA,3,37630.0
ALPHAGAN P,2,37372.0
NAMENDA XR,2,36733.0
HUMALOG KWIKPEN U-100,1,36396.0
ADVAIR DISKUS,3,36316.0
VIGAMOX,1,35672.0
VOLTAREN,4,27160.0
RAPAFLO,1,27153.0
TRIUMEQ,1,27011.0
LEVOTHYROXINE SODIUM,12,26793.0
SPIRIVA,4,26736.0
CLOBETASOL PROPIONATE,5,26650.0
AZOPT,1,25653.0
BYSTOLIC,3,24478.0
NOVOLOG,2,24193.0
LIALDA,1,23259.0
FENOFIBRATE,7,22598.0
TAMSULOSIN HCL,5,21778.0
INVOKANA,1,21251.0
EXELON,2,20862.0
FLECTOR,1,20124.0
DULOXETINE HCL,4,19674.0
OXYCODONE HCL,7,19658.0
CLOZAPINE,3,19564.0
GABAPENTIN,14,18576.0
DOXYCYCLINE HYCLATE,4,18507.0
HUMALOG,2,17886.0
LOSARTAN POTASSIUM,12,17201.0
JANUMET XR,1,17118.0
EXEMESTANE,1,16337.0
INVEGA SUSTENNA,1,16035.0
COLCRYS,4,15111.0
BUDESONIDE,2,14776.0
VYTORIN,2,14762.0
SIMVASTATIN,12,14107.0
AMLODIPINE BESYLATE,15,13950.0
FENTANYL,3,13853.0
OXYCODONE-ACETAMINOPHEN,8,13586.0
FLOVENT HFA,3,13097.0
DEPAKOTE,1,13019.0
DALIRESP,1,12389.0
HUMALOG MIX 75-25,1,11425.0
PREMARIN,3,11421.0
OMEPRAZOLE,7,11265.0
NEXIUM,1,11112.0
OXYBUTYNIN CHLORIDE ER,4,10973.0
NOVOLIN N,1,10528.0
METFORMIN HCL,9,10456.0
LOVENOX,1,10178.0
TRADJENTA,1,10122.0
LISINOPRIL,6,10086.0
SUBOXONE,1,9241.0
NOVOLOG FLEXPEN,1,9159.0
ELIQUIS,2,9074.0
COMBIVENT RESPIMAT,1,8930.0
PANTOPRAZOLE SODIUM,12,8911.0
EFFIENT,1,8725.0
FLUTICASONE PROPIONATE,9,8457.0
PROGESTERONE,2,8197.0
METOPROLOL TARTRATE,12,8182.0
PROAIR HFA,5,7566.0
AZOR,1,7392.0
PRAVASTATIN SODIUM,4,7346.0
LATANOPROST,5,7257.0
HUMALOG MIX 75-25 KWIKPEN,1,7217.0
HUMULIN 70-30,1,6915.0
CELECOXIB,3,6857.0
ALLOPURINOL,8,6776.0
TRAZODONE HCL,10,6727.0
AMITIZA,1,6613.0
POLYETHYLENE GLYCOL 3350,7,6419.0
ATENOLOL,13,6417.0
HYDROCODONE-ACETAMINOPHEN,9,6348.0
RISEDRONATE SODIUM,1,6274.0
MIRTAZAPINE,3,6212.0
QVAR,1,6209.0
MONTELUKAST SODIUM,8,6035.0
DILTIAZEM 24HR ER,2,5913.0
HYDROCORTISONE VALERATE,1,5871.0
DIVALPROEX SODIUM,2,5859.0
BUMETANIDE,1,5690.0
ALVESCO,1,5662.0
VENLAFAXINE HCL ER,4,5599.0
OXYBUTYNIN CHLORIDE,4,5529.0
